311
(A,261,259,440)
(B,7,12,1)
(C,82,44,39)
(D,3,0,0)
(E,116,120,19)
(F,82,24,12)
(G,13,16,1)
(H,54,76,29)
(I,32,33,2)
(J,2,0,0)
(K,23,951,0)
(L,16,47,59)
(M,6,3,4)
(N,27,5,1)
(O,14,57,19)
(P,32,24,32)
(Q,30,108,7)
(R,15,14,19)
(S,29,95,3)
(T,125,215,69)
(U,56,29,13)
(V,33,16,10)
(W,98,60,60)
(X,12,46,27)
(Y,14,37,10)
(Z,9,15,0)
(a,31,73,75)
(b,35,65,2)
(c,22,36,18)
(d,6,16,0)
(e,26,37,18)
(f,61,9,4)
(g,143,39,28)
(h,13,20,0)
(i,35,14,8)
(j,14,18,26)
(k,41,21,7)
(l,14,3,0)
(m,9,17,5)
(n,25,4,2)
(o,27,7,21)
(p,35,21,8)
(q,40,51,14)
(r,9,2,0)
(s,26,11,10)
(t,147,267,125)
(u,39,9,11)
(v,49,21,15)
(w,19,9,12)
(x,67,35,27)
(y,13,19,14)
(z,19,16,18)
(0,4,0,1)
(1,99,611,42)
(2,17,4,14)
(3,15,13,46)
(4,80,88,40)
(5,35,20,13)
(6,14,38,0)
(7,33,76,25)
(8,89,10,0)
(9,25,18,6)
(AA,75,73,55)
(AB,4,14,30)
(AC,21,27,3)
(AD,54,80,43)
(AE,74,45,21)
(AF,37,44,20)
(AG,30,6,0)
(AH,27,8,16)
(AI,6,6,0)
(AJ,16,12,12)
(AK,12,7,0)
(AL,12,29,4)
(AM,18,42,16)
(AN,40,21,1)
(AO,33,12,28)
(AP,84,75,50)
(AQ,88,180,66)
(AR,30,23,24)
(AS,75,212,133)
(AT,18,43,17)
(AU,22,24,14)
(AV,40,40,18)
(AW,25,68,28)
(AX,60,148,23)
(AY,15,12,15)
(AZ,25,51,4)
(Aa,40,72,40)
(Ab,3,0,0)
(Ac,12,10,6)
(Ad,13,17,16)
(Ae,37,20,17)
(Af,22,28,8)
(Ag,22,13,13)
(Ah,6,16,22)
(Ai,31,25,98)
(Aj,42,46,45)
(Ak,8,2,0)
(Al,10,42,5)
(c,25,40,21)
(Am,13,13,2)
(O,18,43,13)
(An,18,6,85)
(AI,4,8,0)
(1,92,507,36)
(Ao,22,40,13)
(E,56,70,10)
(J,2,0,0)
(3,15,14,44)
(AB,3,13,26)
(Ap,27,28,20)
(Aj,44,43,48)
(S,34,117,4)
(v,67,33,29)
(AC,10,20,0)
(Ah,6,20,17)
(a,15,48,43)
(o,24,1,21)
(Aq,26,15,18)
(g,342,90,62)
(Ad,11,15,16)
(Ar,6,9,0)
(B,6,11,1)
(6,15,41,0)
(AS,76,241,137)
(Z,9,14,0)
(A,195,210,295)
(w,21,12,15)
(7,43,79,35)
(AA,71,72,50)
(AQ,25,48,19)
(i,58,18,14)
(s,46,39,29)
